456,Kraftwerk Mitte,"Löbtauer Straße 21, 01069 DresdenDREWAG",N/A,N/A,N/A,"je 1 Stunde 0,50 Euro; Tagestarif 4,00 Euro; Eventticket 3,00 Euro"
464,Ostra-Ufer,"Ostra-Ufer, 01067 Dresdentiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,"werktags von 8 bis 19 Uhr je 5 Minuten 0,10 Euro; ab 4:10 Stunden Tagestarif für 24 Std. 5,00 Euro; Sonntag, Feiertag und werktags von 19 bis 8 Uhr gebührenfrei"
429,Parkhaus Mitte,"Magdeburger Str. 1, 01067 DresdenKontakt: 03 51 / 481 80 33,",13.726110154,51.0581412221,von 00:00 Uhr bis 24:00 Uhr,"je Stunde 1,50 Euro; Tagestarif  8 bis 20 Uhr 6,00 Euro; 24 Stunden 15,00 Euro"
407,World Trade Center,"Ammonstraße 70, 01067 DresdenEinfahrt von Freiberger Straße, Einfahrtshöhe max. 2,0 m",13.721715643,51.0493736241,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde 1,50 Euro; Kurzzeitparken 15 Minuten gebührenfrei; Tageshöchstsatz 12,00 Euro"
409,Altmarkt - Galerie,www.apcoa.de,51.0467643184,51.0467643184,N/A,"erste uns zweite Stunde je 1,50 Euro; jede weitere angefangene Stunde 2,00 Euro; Tagesgebühr 20,00 Euro"
461,Budapester Straße,"Budapester Straße, 01069 DresdenKontakt: tiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,"Werktags von 8 bis 19 Uhr je 2 Minuten  0,05 Euro; ab 4 Stunden Tagestarif für 24 Stunden 6,00 Euro; Sonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei"
438,Centrum - Galerie,"Trompeterstraße 5, 01069 DresdenEinfahrt von Reitbahnstraße, Kontakt: +49 21 15 86 70 70, goldbeck-parking.de",13.7339469054,51.0453716211,von 00:00 Uhr bis 24:00 Uhr,"erste Stunde 2,50 Euro; jede weitere Stunde 2,00 Euro; Tagesgebühr 15,00 Euro; verlorener Parkschein 50,00 Euro"
419,Ferdinandplatz,"Ferdinandplatz 1, 01069 DresdenKontakt: tiefbauamt-verkehrstechnik@dresden.de",13.7396371112,51.0458825653,von 00:00 Uhr bis 24:00 Uhr,"Werktags von 8 bis 20 Uhr je 2 Minuten  0,05 Euro; Tagestarif ab 4 Stunden für 24 Stunden  6,00 Euro; Sonntag, Feiertag und täglich von 20 bis 8 Uhr gebührenfrei"
404,GALERIA Karstadt Kaufhof,www.karstadt.de/dresden,51.0467643184,51.0467643184,N/A,"je angefangene Stunde 2,00 Euro; Tagesticket 20,00 Euro; Ticketverlust 40,00 Euro"
415,Reitbahnstraße,"Reitbahnstraße, 01069 DresdenKontakt: tiefbauamt-verkehrstechnik@dresden.de",13.733425664,51.0435681109,von 00:00 Uhr bis 24:00 Uhr,"Werktags von 8 bis 20 Uhr je 2 Minuten  0,05 Euro; Tagestarif ab 4 Stunden für 24 Stunden  6,00 Euro; Sonntag, Feiertag und täglich von 20 bis 8 Uhr gebührenfrei"
468,Stadtforum Dresden,"Waisenhausstraße 14, 01069 Dresden",N/A,N/A,N/A,"je Stunde 2,50 Euro; Tagesticket 25,00 Euro; verlorenes Ticket 84,00 Euro"
410,Wiener Platz / Hauptbahnhof,"Wiener Platz, 01069 DresdenEinfahrt von Ammonstraße im Tunnel, Kontakt: 03 51 / 484 53 10, E-Mail: tg-dd@duerr-liegenschaften.de",N/A,N/A,N/A,"je angefangene Stunde  2,00 Euro; Tagesmaximum  16,00 Euro; Dauerparker je Monat  95,20 Euro"
405,Wöhrl / Florentinum,"Prager Straße 8 - 10, 01069 DresdenEinfahrt von St. Petersburger Straße",13.7379629908,51.0445161087,von 07:00 Uhr bis 24:00 Uhr,"je angefangene Stunde ab 2,00 Euro (veränderlicher Satz); Tageshöchstsatz 22,00 Euro"
406,SachsenEnergie Center,"Friedrich-List-Platz 2, 01069 DresdenEinfahrt von Winckelmannstraße, Kontakt: 03 51 / 468 53 76",13.7308521429,51.0385960715,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde 2,40 Euro; Tageshöchstsatz für 24 Stunden 17,00 Euro; Parkscheinverlust 50,00 Euro; Dauerparker je Monat 95,20 Euro"
453,Strehlener Straße,"Strehlener Straße 27, 01069 DresdenKontakt: (03 51) 488 97 97, tiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,"werktags von 8 bis 19 Uhr je 5 Minuten  0,10 Euro; Tagestarif ab 4:10 Stunden für 24 Stunden  5,00 Euro; Sonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei"
443,Blüherstraße,,N/A,N/A,"werktags von 8 bis 19 Uhr je 2 Minuten 0,05 Euroab 4 Stunden Tagestarif für 24 Stunden 6,00 EuroSonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei","werktags von 8 bis 19 Uhr je 2 Minuten 0,05 Euro; ab 4 Stunden Tagestarif für 24 Stunden 6,00 Euro; Sonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei"
413,Lindengasse,,51.0415005807,51.0415005807,N/A,"Werktags von 8 bis 19 Uhr je 2 Minuten  0,05 Euro; Tagestarif ab 4 Stunden für 24 Stunden  6,00 Euro; Sonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei"
444,Lingnerallee,,N/A,N/A,"werktags von 8 bis 19 Uhr je 2 Minuten 0,05 Euroab 4 Stunden Tagestarif für 24 Stunden 6,00 EuroSonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei","werktags von 8 bis 19 Uhr je 2 Minuten 0,05 Euro; ab 4 Stunden Tagestarif für 24 Stunden 6,00 Euro; Sonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei"
445,Pirnaische Straße,,N/A,N/A,"Pkw erste Stunde 1,00 Euro, jede weitere Stunde 0,50 Euro10 Stunden 5,00 Euro, 24 Stunden 7,00 EuroBus erste Stunde 2,00 Euro, bis 6 Stunden 5,00 Eurobis 10 Stunden 7,00 Euro, 24 Stunden 10,00 Euro","Pkw erste Stunde 1,00 Euro, jede weitere Stunde 0,50 Euro; 10 Stunden 5,00 Euro, 24 Stunden 7,00 Euro; Bus erste Stunde 2,00 Euro, bis 6 Stunden 5,00 Euro; bis 10 Stunden 7,00 Euro, 24 Stunden 10,00 Euro"
412,Pirnaischer Platz,"Pirnaischer Platz / Ringstraße, 01067 DresdenEinfahrt von Kreuzstraße, Kontakt: tiefbauamt-verkehrstechnik@dresden.de",13.7435680797,51.0481722025,von 00:00 Uhr bis 24:00 Uhr,"Montag bis Samstag von 8 bis 20 Uhr je 5 Minuten  0,20 Euro; Montag bis Samstag Tagestarif 24 Stunden 12,00 Euro; Sonntag und Feiertag von 8 bis 20 Uhr je 2 Minuten  0,05 Euro; Sonntag und Feiertag Tagestarif  6,00 Euro; täglich von 20 bis 8 Uhr gebührenfrei"
452,SP1 Straßburger Platz,"Straßburger Platz 1, 01307 DresdenEinfahrt von Güntzstraße/ Comeniusstraße, Einfahrtshöhe max. 2,1 m",N/A,N/A,N/A,"je angefangene Stunde ab 1,80 Euro (veränderlicher Satz); Tagesgebühr 10,00  Euro"
447,Bahnhof Neustadt,,N/A,N/A,"Montag bis Samstag von 8 bis 20 Uhr je 5 Minuten 0,20 EuroMontag bis Samstag Tagestarif 24 Stunden 12,00 EuroSonntag und Feiertag von 8 bis 20 Uhr je 2 Minuten 0,05 EuroSonntag und Feiertag Tagestarif 6,00 Eurotäglich von 20 bis 8 Uhr gebührenfrei","Montag bis Samstag von 8 bis 20 Uhr je 5 Minuten 0,20 Euro; Montag bis Samstag Tagestarif 24 Stunden 12,00 Euro; Sonntag und Feiertag von 8 bis 20 Uhr je 2 Minuten 0,05 Euro; Sonntag und Feiertag Tagestarif 6,00 Euro; täglich von 20 bis 8 Uhr gebührenfrei"
448,Palaisplatz,,N/A,N/A,"Montag bis Samstag von 8 bis 20 Uhr je 2 Minuten 0,05 EuroTagestarif 24 Stunden 6,00 EuroSonntag, Feiertag und täglich von 20 bis 8 Uhr gebührenfrei","Montag bis Samstag von 8 bis 20 Uhr je 2 Minuten 0,05 Euro; Tagestarif 24 Stunden 6,00 Euro; Sonntag, Feiertag und täglich von 20 bis 8 Uhr gebührenfrei"
420,Sarrasanistraße,"Sarrasanistraße, 01097 DresdenKontakt:tiefbauamt-verkehrstechnik@dresden.de",13.7450239818,51.0576266063,von 00:00 Uhr bis 24:00 Uhr,"Werktags von 8 bis 20 Uhr je 2 Minuten  0,05 Euro; Tagestarif ab 4 Stunden für 24 Stunden  6,00 Euro; Sonntag, Feiertag und täglich von 20 bis 8 Uhr gebührenfrei"
418,Theresienstraße,"Theresienstraße 15, 01097 Dresden",13.7420210937,51.0631677006,von 00:00 Uhr bis 24:00 Uhr,"je angefangene 60 Minuten  2,00 Euro; Tageshöchstsatz  20,00 Euro; Park & Fly je Tag 20,00 Euro"
417,Wiesentorstraße,"Wiesentorstraße, 01097 DresdenEinfahrt von Große Meißner Straße, Kontakt: 03 51 / 48427524",13.742909341,51.0567049614,von 00:00 Uhr bis 24:00 Uhr,"Pkw je angefangene Stunde 2,50 Euro; Tag (24 Stunden) 18,00 Euro; Wohnmobil je Tag (24 Stunden) 25,00 Euro"
449,Wigardstraße,,N/A,N/A,"Montag bis Freitag von 2 bis 16 Uhr Einfahrt nur für BerechtigteMontag bis Freitag von 16 bis 2 Uhr gebührenfreiSamstag, Sonntag, Feiertag gebührenfrei","Montag bis Freitag von 2 bis 16 Uhr Einfahrt nur für Berechtigte; Montag bis Freitag von 16 bis 2 Uhr gebührenfrei; Samstag, Sonntag, Feiertag gebührenfrei"
465,Fidelio-F.-Finke-Straße,"Fidelio-F.-Finke-Straße, 01326 Dresdentiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,"werktags von 8 bis 20 Uhr je 5 Minuten  0,10 Euro; Tagestarif ab 4:10 Stunden  5,00 Euro; Sonntag, Feiertag und täglich von 20 bis 8 Uhr gebührenfrei"
424,MESSE DRESDEN Parkplatz P7,www.messe-dresden.de,51.0674629065,51.0674629065,N/A,keine Gebühreninformation
437,Cossebaude,"Bahnhofstraße Cossebaude, 01462 Dresden",N/A,N/A,N/A,gebührenfrei
441,Gompitz,,N/A,N/A,gebührenfrei,gebührenfrei
459,Grenzstraße,"Grenzstraße 3, 01109 Dresdentiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,gebührenfrei
427,Kaditz,"Washingtonstraße, 01139 DresdenAutobahnabfahrt Dresden Neustadt",13.6910092371,51.0813055504,von 00:00 Uhr bis 24:00 Uhr,gebührenfrei
433,Klotzsche,"Zur Neuen Brücke, 01109 Dresdentiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,gebührenfrei
439,Langebrück,"Güterbahnhofstraße Langebrück, 01465 Dresden",N/A,N/A,N/A,gebührenfrei
436,Pennrich,"Oskar-Maune-Straße, 01156 Dresden",N/A,N/A,N/A,gebührenfrei
426,Prohlis,"Langer Weg, 01239 Dresden",13.7994473768,50.9994080211,von 00:00 Uhr bis 24:00 Uhr,gebührenfrei
434,Reick,"Lohrmannstraße, 01237 Dresdentiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,gebührenfrei
460,Weißig,,N/A,N/A,keine Gebühreninformation,keine Gebühreninformation
466,Weixdorf Bad,,N/A,N/A,gebührenfrei,gebührenfrei
450,Ammonstraße Bus,,N/A,N/A,"Täglich 8 bis 19 Uhrje 20 Minuten - 1,00 EuroTagestarif 10,00 Euro","Täglich 8 bis 19 Uhr; je 20 Minuten - 1,00 Euro; Tagestarif 10,00 Euro"
454,Pieschener Allee Bus,"Pieschener Allee, 01067 Dresdentiefbauamt-verkehrstechnik@dresden.de",N/A,N/A,N/A,"täglich von 8 bis 19 Uhr; je 20 Minuten - 1,00 Euro; Tagestarif - 10,00 Euro"
